,date,capital,strat scalar,BCM units,BCM units_adj,BCM w,CTG units,CTG units_adj,CTG w,GVR units,GVR units_adj,GVR w,NVL units,NVL units_adj,NVL w,POW units,POW units_adj,POW w,SAB units,SAB units_adj,SAB w,SSI units,SSI units_adj,SSI w,STB units,STB units_adj,STB w,TCB units,TCB units_adj,TCB w,TPB units,TPB units_adj,TPB w,VHM units,VHM units_adj,VHM w,VRE units,VRE units_adj,VRE w,ACB units,ACB units_adj,BID units,BID units_adj,BVH units,BVH units_adj,FPT units,FPT units_adj,GAS units,GAS units_adj,HDB units,HDB units_adj,HPG units,HPG units_adj,MBB units,MBB units_adj,MSN units,MSN units_adj,MWG units,MWG units_adj,PDR units,PDR units_adj,PLX units,PLX units_adj,VCB units,VCB units_adj,VIB units,VIB units_adj,VIC units,VIC units_adj,VJC units,VJC units_adj,VNM units,VNM units_adj,VPB units,VPB units_adj,ACB w,BID w,BVH w,FPT w,GAS w,HDB w,HPG w,MBB w,MSN w,MWG w,PDR w,PLX w,VCB w,VIB w,VIC w,VJC w,VNM w,VPB w,nominal,leverage,daily pnl,nominal ret,capital ret
179,2018-11-02,111539659.2490452,11.403316109224246,0.0,0.0,0.0,0.0,0.0,0.0,293.4515464613561,293.4515464613561,0.05295142792890728,0.0,0.0,0.0,128.03815528201926,280.99296934693007,0.03796188334732619,0.0,0.0,0.0,0.0,0.0,0.0,390.5454273112639,390.5454273112639,0.10862820151334297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.12672553343413,207.12672553343413,0.0,0.0,0.0,0.0,115.72309106034204,168.40602687635717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.9465963458326,553.9465963458326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11388565004197856,0.0,0.0,0.22777130008395718,0.0,0.0,0.0,0.0,0.3097592610023641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44581086.966305226,0.3996882119458945,1392543.9809685822,0.014293242138288156,0.0068161255628370705
180,2018-11-05,111487230.71023521,11.524421880039432,0.0,0.0,0.0,0.0,0.0,0.0,352.1931177486105,352.1931177486105,0.06557881040005484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.5713519794891,499.5713519794891,0.13673191035907092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.03986869518224,254.03986869518224,0.0,0.0,0.0,0.0,144.0256082727335,144.0256082727335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.1667333228821,693.1667333228821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13949220494191208,0.0,0.0,0.27898440988382417,0.0,0.0,0.0,0.0,0.37921266441513796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45122650.45331744,0.4047337992509209,-52428.53880998783,-0.0007721594139659342,-0.00030862301550523404
181,2018-11-06,111234533.12814133,11.657565825171947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.5702077340933,589.5702077340933,0.3130928094873249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.91314316174811,0.0,0.0,0.0,0.0,168.971509619016,168.971509619016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6377468590103539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23067393.52005152,0.20737618859314183,-252697.5820938726,-0.005600237903891383,-0.002266605563550973
182,2018-11-07,111212612.59974755,11.7897594378098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99885575460416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.91314316174811,0.0,0.0,0.0,0.0,145.37420577835903,145.37420577835903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8438992781250346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14688805.009355418,0.13207858952311638,-21920.528393778717,-0.0016415993289861618,-0.0003404286120422094
183,2018-11-08,111240874.85428406,11.926524465485327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99885575460416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.84378417311596,123.84378417311596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903290829538119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11725729.598259622,0.10540846261429816,28262.254536509266,0.0025367713568351918,0.00033505318275343427
184,2018-11-09,110678735.83484757,12.065634898781086,0.0,0.0,0.0,0.0,0.0,0.0,1311.6894274167846,1311.6894274167846,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.59940656644422,80.59940656644422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.7163239798235,742.7163239798235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34890995.61138205,0.3152457005241336,-562139.0194364865,-0.04602181054196993,-0.004851088295955551
185,2018-11-12,111212756.10077648,12.195483142165351,0.0,0.0,0.0,0.0,0.0,0.0,1141.051356478996,1311.6894274167846,0.27400678963035874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.22502981207722,56.22502981207722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.5155565903617,761.5155565903617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370033948151794,0.0,0.0,0.0,0.0,0.5480135792607176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33871519.26637252,0.30456505578981896,534020.2659289119,0.0153053891875,0.004824958136207937
186,2018-11-13,111046660.42045252,12.333088792308741,0.0,0.0,0.0,0.0,0.0,0.0,1220.0020008861793,1311.6894274167846,0.3328458280020047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.553066929960853,25.553066929960853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.3061064069948,742.7163239798235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06656916560040094,0.0,0.0,0.0,0.0,0.4659841592028065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30796027.310363077,0.2773251099471252,-166095.68032395883,-0.006254562415170015,-0.0019049211509171602
187,2018-11-14,110665565.8386751,12.474968966012911,0.0,0.0,0.0,0.0,0.0,0.0,1048.935017892372,1048.935017892372,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.98079922675262,27.98079922675262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.46271917987923,453.46271917987923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21563826.929635756,0.1948557960754554,-381094.58177742106,-0.011435566871250984,-0.003171369839877382
188,2018-11-15,111015225.10723786,12.615839452796543,0.0,0.0,0.0,0.0,0.0,0.0,1172.7615898074123,1172.7615898074123,0.2263143039913468,0.0,0.0,0.0,0.0,0.0,0.0,54.261567118107834,54.261567118107834,0.27157716478961624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427732296791767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.4163188443173,424.4163188443173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.48923292839223,147.48923292839223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22631430399134683,0.0,0.0,0.0,0.0,0.27157716478961624,0.0,0.0,0.0,44465008.519279696,0.4005307242887418,349659.26856276137,0.0162150844,0.003159603179192698
189,2018-11-16,110413582.72307542,12.762622573859174,0.0,0.0,0.0,0.0,0.0,0.0,1282.5834659733446,1282.5834659733446,0.310686020236079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427732296791767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.9903841291036,443.9903841291036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.32486197799753,157.32486197799753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310686020236079,0.0,0.0,0.0,0.0,0.37282322428329484,0.0,0.0,0.0,33946981.9669974,0.3074529521620422,-601642.3841624414,-0.013745278281869404,-0.005505406265787465
190,2018-11-19,112296293.48337103,12.898519693972489,0.0,0.0,0.0,0.0,0.0,0.0,1166.2267260680226,1166.2267260680226,0.3059438475308421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.879692719821,400.879692719821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.51659707977527,147.48923292839223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3059438475308421,0.0,0.0,0.0,0.0,0.36713261703701056,0.0,0.0,0.0,32708597.010518663,0.291270495186577,1882710.7602956193,-0.02563253748888299,-0.007880799322361295
191,2018-11-20,112250144.88308917,13.023458520559261,0.0,0.0,0.0,0.0,0.0,0.0,1189.4291174444506,1189.4291174444506,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.21294775046863,325.21294775046863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.65117440061215,139.65117440061215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666667,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,30299317.302989952,0.26992675452265397,-46148.600281857085,-0.0015850066562853554,-0.0004616656736502561
192,2018-11-21,112204223.34477542,13.17656883421751,0.0,0.0,0.0,0.0,0.0,0.0,1505.1738639027626,1505.1738639027626,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,92.04820903474871,92.04820903474871,0.3478260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.81062349188875,404.81062349188875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.68288979423747,174.68288979423747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,58173041.52835178,0.5184567906111752,-45921.53831374356,-0.0015155964000000003,-0.00040910001741821815
193,2018-11-22,112567240.24274203,13.331849743641657,0.0,0.0,0.0,0.0,0.0,0.0,1867.4637496792477,1867.4637496792477,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0926954587064,627.0926954587064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.4695199753707,217.4695199753707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31249999999999994,0.0,0.0,0.0,0.0,0.37500000000000006,0.0,0.0,0.0,50742887.99425315,0.4507784670285091,363016.8979666131,0.006240294434782609,0.003235323025126169
194,2018-11-23,112595659.31679633,13.487642415868763,0.0,0.0,0.0,0.0,0.0,0.0,1673.2280463435518,1673.2280463435518,0.31250000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.9597586478289,463.9597586478289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.3980046726734,227.3980046726734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,45943678.49509115,0.408041293721858,28419.074054302793,0.0005600604375000013,0.00025246318545956673
195,2018-11-26,113036947.35428977,13.647980707154007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.4817959582786,442.4817959582786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.17751311354652,216.17751311354652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363636,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,30482683.768753275,0.26967009002120274,441288.0374934386,0.0096049783125,0.0039192277768028885
196,2018-11-27,113151718.66902502,13.806864156106947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4501689906766,104.4501689906766,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.24810951615825,410.24810951615825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.05399186787153,197.05399186787153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,51022908.60864529,0.45092473370104164,114771.31473525058,0.0037651315454545454,0.0010153433628043974
197,2018-11-28,114022889.14955306,13.971481734637571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.41108127592148,113.41108127592148,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0813592493176,459.0813592493176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.37034510817406,251.37034510817406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619052,0.0,0.0,0.0,0.0,0.380952380952381,0.0,0.0,0.0,60093223.127422854,0.5270277185189041,871170.4805280381,0.01707410435,0.007699135957207547
